Months,AllLeaked,AllOutFlowed,Conveyor,InFlow,LeakingFlow,OutFlow
0,0,0,10,1,0.872727272727,2.03636363636
0.25,0.218181818182,0.509090909091,9.52272727273,1,0.836931818182,2.03636363636
0.5,0.427414772727,1.01818181818,9.05440340909,1,0.801136363636,2.03636363636
0.75,0.627698863636,1.52727272727,8.59502840909,1,0.765340909091,2.03636363636
1,0.819034090909,2.03636363636,8.14460227273,1,0.729545454545,2.03636363636
1.25,1.00142045455,2.54545454545,7.703125,1,0.69375,2.03636363636
1.5,1.17485795455,3.05454545455,7.27059659091,1,0.657954545455,2.03636363636
1.75,1.33934659091,3.56363636364,6.84701704545,1,0.622159090909,2.03636363636
2,1.49488636364,4.07272727273,6.43238636364,1,0.586363636364,2.03636363636
2.25,1.64147727273,4.58181818182,6.02670454545,1,0.550568181818,2.03636363636
2.5,1.77911931818,5.09090909091,5.62997159091,1,0.514772727273,2.03636363636
2.75,1.9078125,5.6,5.2421875,1,0.478977272727,2.03636363636
3,2.02755681818,6.10909090909,4.86335227273,1,0.443181818182,2.03636363636
3.25,2.13835227273,6.61818181818,4.49346590909,1,0.407386363636,2.03636363636
3.5,2.24019886364,7.12727272727,4.13252840909,1,0.371590909091,2.03636363636
3.75,2.33309659091,7.63636363636,3.78053977273,1,0.335795454545,2.03636363636
4,2.41704545455,8.14545454545,3.4375,1,0.3,0.7
4.25,2.49204545455,8.32045454545,3.4375,1,0.3,0.7
4.5,2.56704545455,8.49545454545,3.4375,1,0.3,0.7
4.75,2.64204545455,8.67045454545,3.4375,1,0.3,0.7
5,2.71704545455,8.84545454545,3.4375,1,0.3,0.7
5.25,2.79204545455,9.02045454545,3.4375,1,0.3,0.7
5.5,2.86704545455,9.19545454545,3.4375,1,0.3,0.7
5.75,2.94204545455,9.37045454545,3.4375,1,0.3,0.7
6,3.01704545455,9.54545454545,3.4375,1,0.3,0.7
