Months,a,b,c,Flow 1,Flow 2,Flow 3,Flow 4,Flow a,Flow b,init val,smth time,Source,Stock 1,Stock 2,Stock 3,Stock 4
0,1,1,1,1,1,1,1,1,1,1,5,1,5,1.66666666667,1.66666666667,1.66666666667
0.25,1,1,1,1,1,1,1,1,1,1,5,1,5,1.66666666667,1.66666666667,1.66666666667
0.5,1,1,1,1,1,1,1,1,1,1,5,1,5,1.66666666667,1.66666666667,1.66666666667
0.75,1,1,1,1,1,1,1,1,1,1,5,1,5,1.66666666667,1.66666666667,1.66666666667
1,1,1,1,1,1,1,1,1,1,1,5,1,5,1.66666666667,1.66666666667,1.66666666667
1.25,1,1,1,1,1,1,1,1,1,1,5,1,5,1.66666666667,1.66666666667,1.66666666667
1.5,1,1,1,1,1,1,1,1,1,1,5,1,5,1.66666666667,1.66666666667,1.66666666667
1.75,1,1,1,1,1,1,1,1,1,1,5,1,5,1.66666666667,1.66666666667,1.66666666667
2,1,1,1,3,3,1,1,1,1,1,5,3,5,1.66666666667,1.66666666667,1.66666666667
2.25,1.1,1,1.1,3,3,1.3,1,1.1,1,1,5,3,5.5,2.16666666667,1.66666666667,1.66666666667
2.5,1.195,1,1.195,3,3,1.555,1.045,1.195,1,1,5,3,5.975,2.59166666667,1.74166666667,1.66666666667
2.75,1.28525,1.00675,1.28525,3,3,1.77175,1.1215,1.28525,1.00675,1,5,3,6.42625,2.95291666667,1.86916666667,1.67791666667
3,1.3709875,1.0239625,1.3709875,3,3,1.9559875,1.2190375,1.3709875,1.0239625,1,5,3,6.8549375,3.25997916667,2.03172916667,1.70660416667
3.25,1.452438125,1.05322375,1.452438125,3,3,2.112589375,1.32958,1.452438125,1.05322375,1,5,3,7.262190625,3.52098229167,2.21596666667,1.75537291667
3.5,1.52981621875,1.0946771875,1.52981621875,3,3,2.24570096875,1.44703140625,1.52981621875,1.0946771875,1,5,3,7.64908109375,3.74283494792,2.41171901042,1.82446197917
3.75,1.60332540781,1.14753032031,1.60332540781,3,3,2.35884582344,1.56683184063,1.60332540781,1.14753032031,1,5,3,8.01662703906,3.93140970573,2.61138640104,1.91255053385
4,1.67315913742,1.21042554836,1.67315913742,3,3,2.45501894992,1.68563393805,1.67315913742,1.21042554836,1,5,3,8.36579568711,4.09169824987,2.80938989674,2.01737591393
4.25,1.73950118055,1.28170680681,1.73950118055,3,3,2.53676610743,1.80104168983,1.73950118055,1.28170680681,1,5,3,8.69750590275,4.22794351239,3.00173614971,2.13617801135
4.5,1.80252612152,1.35960703926,1.80252612152,3,3,2.60625119132,1.91140035247,1.80252612152,1.35960703926,1,5,3,9.01263060762,4.34375198553,3.18566725411,2.26601173211
4.75,1.86239981545,1.44237603625,1.86239981545,3,3,2.66531351262,2.0156279783,1.86239981545,1.44237603625,1,5,3,9.31199907724,4.4421891877,3.35937996383,2.40396006041
5,1.91927982467,1.52836382755,1.91927982467,3,3,2.71551648573,2.11308080845,1.91927982467,1.52836382755,1,5,3,9.59639912337,4.52586080955,3.52180134741,2.54727304592
5.25,1.97331583344,1.61607137469,1.97331583344,3,3,2.75818901287,2.20344616004,1.97331583344,1.61607137469,1,5,3,9.8665791672,4.59698168811,3.67241026673,2.69345229114
5.5,2.02465004177,1.70417759249,2.02465004177,3,3,2.79446066094,2.28665758796,2.02465004177,1.70417759249,1,5,3,10.1232502088,4.6574344349,3.81109597994,2.84029598748
5.75,2.07341753968,1.79154959181,2.07341753968,3,3,2.8252915618,2.36282804891,2.07341753968,1.79154959181,1,5,3,10.3670876984,4.70881926966,3.93804674818,2.98591598635
6,2.1197466627,1.87724136038,2.1197466627,3,3,2.85149782753,2.43219757584,2.1197466627,1.87724136038,1,5,3,10.5987333135,4.75249637921,4.0536626264,3.12873560063
6.25,2.16375932956,1.9604847927,2.16375932956,3,3,2.8737731534,2.49509261359,2.16375932956,1.9604847927,1,5,3,10.8187966478,4.78962192233,4.15848768932,3.26747465449
6.5,2.20557136308,2.04067596583,2.20557136308,3,3,2.89270718039,2.55189469457,2.20557136308,2.04067596583,1,5,3,11.0278568154,4.82117863398,4.25315782428,3.40112660972
6.75,2.24529279493,2.11735877514,2.24529279493,3,3,2.90880110333,2.60301656744,2.24529279493,2.11735877514,1,5,3,11.2264639746,4.84800183888,4.33836094573,3.5289312919
7,2.28302815518,2.19020744399,2.28302815518,3,3,2.92248093783,2.64888424782,2.28302815518,2.19020744399,1,5,3,11.4151407759,4.87080156305,4.4148070797,3.65034573998
